               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11595,            0.032781,                   0,                   0,                   0,                   0,                   0,            0.085817,            0.026704,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.099316,            0.030586,                   0,                   0,                   0,                   0,                   0,            0.085011,            0.025122,                   0,            0.095475,          0.00047525,          0.00047525
                   2,             0.11052,            0.031107,                   0,           0.0011111,             0.33333,            0.037591,           0.0037591,             0.08131,             0.02384,                   0,            0.092721,           0.0007208,           0.0007208
                   3,              0.1077,            0.029022,                   0,            0.030095,             0.33333,             0.33622,            0.079917,            0.075664,            0.023181,                   0,            0.089937,          0.00093665,          0.00093665
                   4,             0.10725,             0.03455,                   0,            0.005934,             0.33333,             0.33622,            0.067255,            0.072987,            0.022227,                   0,            0.087123,           0.0011228,           0.0011228
                   5,            0.088193,            0.027317,                   0,           0.0028749,             0.66667,             0.33739,             0.10092,            0.069927,            0.021487,                   0,            0.084279,           0.0012793,           0.0012793
                   6,            0.070816,            0.027165,                   0,           0.0011111,             0.33333,            0.026138,            0.004948,            0.057847,            0.021824,                   0,            0.081406,            0.001406,            0.001406
                   7,            0.095625,            0.030309,                   0,           0.0022222,             0.66667,            0.018745,           0.0026422,            0.052344,            0.021978,                   0,            0.078503,           0.0015031,           0.0015031
                   8,            0.065672,            0.028646,                   0,           0.0033333,                   1,             0.21612,            0.022959,            0.048837,            0.021296,                   0,             0.07557,           0.0015704,           0.0015704
                   9,            0.065211,            0.028153,                   0,           0.0033333,                   1,             0.33903,            0.068402,            0.049701,            0.020402,                   0,            0.072608,           0.0016081,           0.0016081
                  10,            0.057626,            0.029673,                   0,           0.0033333,                   1,             0.36461,            0.090178,            0.045662,            0.018672,                   0,            0.069616,            0.001616,            0.001616
                  11,            0.070091,            0.023906,                   0,           0.0033333,                   1,             0.12103,             0.01922,            0.041828,            0.018226,                   0,            0.066594,           0.0015943,           0.0015943
                  12,            0.071405,            0.026272,                   0,           0.0033333,                   1,             0.11922,            0.024955,            0.041586,            0.017732,                   0,            0.063543,           0.0015428,           0.0015428
                  13,            0.066878,            0.041265,                   0,           0.0033333,                   1,            0.037929,           0.0079746,            0.041971,            0.017298,                   0,            0.060462,           0.0014616,           0.0014616
                  14,            0.070222,            0.032046,                   0,           0.0033333,                   1,            0.069493,           0.0082465,             0.04335,             0.01651,                   0,            0.057351,           0.0013508,           0.0013508
                  15,            0.053753,            0.024513,                   0,           0.0033333,                   1,            0.071424,            0.015968,            0.041891,            0.016228,                   0,             0.05421,           0.0012102,           0.0012102
                  16,            0.065623,            0.023391,                   0,           0.0033333,                   1,            0.086402,            0.016966,            0.034241,            0.016279,                   0,             0.05104,             0.00104,             0.00104
                  17,            0.054999,            0.021908,                   0,           0.0033333,                   1,             0.11583,            0.020631,            0.033843,            0.016129,                   0,             0.04784,          0.00084005,          0.00084005
                  18,            0.068382,            0.030485,                   0,           0.0033333,                   1,            0.066172,            0.013497,            0.032878,            0.015995,                   0,             0.04461,           0.0006104,           0.0006104
                  19,            0.069967,            0.027712,                   0,           0.0033333,                   1,            0.060056,            0.011205,            0.033323,            0.015891,                   0,            0.041351,          0.00035105,          0.00035105
